"category","crops","country","value"
"fruits","mangosteen","Paraguay",1
"fruits","mangosteen","Peru",3
"fruits","mangosteen","Philippines",13
"fruits","mangosteen","Pitcairn",0
"fruits","mangosteen","Poland",3
"fruits","mangosteen","Portugal",2
"fruits","mangosteen","Puerto Rico",3
"fruits","mangosteen","Qatar",0
"fruits","mangosteen","Reunion",1
"fruits","mangosteen","Romania",0
"fruits","mangosteen","Russian Federation",5
"fruits","mangosteen","Rwanda",0
"fruits","mangosteen","Saint Barthelemy",0
"fruits","mangosteen","Saint Helena",0
"fruits","mangosteen","Saint Pierre and Miquelon",0
"fruits","mangosteen","Samoa",0
"fruits","mangosteen","San Marino",0
"fruits","mangosteen","Saudi Arabia",0
"fruits","mangosteen","Senegal",0
"fruits","mangosteen","Serbia",0
"fruits","mangosteen","Seychelles",0
"fruits","mangosteen","Sierra Leone",0
"fruits","mangosteen","Singapore",3
"fruits","mangosteen","Sint Maarten (Dutch part)",0
"fruits","mangosteen","Slovak Republic",0
"fruits","mangosteen","Slovenia",0
"fruits","mangosteen","Solomon Islands",0
"fruits","mangosteen","Somalia",0
"fruits","mangosteen","South Africa",2
"fruits","mangosteen","South Georgia and the South Sandwich Islands",0
"fruits","mangosteen","South Sudan",0
"fruits","mangosteen","Spain",1
"fruits","mangosteen","Sri Lanka",7
"fruits","mangosteen","St. Kitts and Nevis",0
"fruits","mangosteen","St. Lucia",0
"fruits","mangosteen","St. Martin (French part)",0
"fruits","mangosteen","St. Vincent and the Grenadines",0
"fruits","mangosteen","Sudan",0
"fruits","mangosteen","Suriname",0
"fruits","mangosteen","Svalbard and Jan Mayen",0
"fruits","mangosteen","Sweden",2
"fruits","mangosteen","Switzerland",4
"fruits","mangosteen","Syrian Arab Republic",2
"fruits","mangosteen","São Tomé and Príncipe",0
"fruits","mangosteen","Taiwan, China",4
"fruits","mangosteen","Tajikistan",0
"fruits","mangosteen","Tanzania",0
"fruits","mangosteen","Thailand",97
"fruits","mangosteen","Timor-Leste",0
"fruits","mangosteen","Togo",0
"fruits","mangosteen","Tokelau",0
"fruits","mangosteen","Tonga",0
"fruits","mangosteen","Trinidad and Tobago",1
"fruits","mangosteen","Tunisia",0
"fruits","mangosteen","Turkmenistan",0
"fruits","mangosteen","Turks and Caicos Islands",0
"fruits","mangosteen","Tuvalu",0
"fruits","mangosteen","Türkiye",3
"fruits","mangosteen","Uganda",0
"fruits","mangosteen","Ukraine",1
"fruits","mangosteen","United Arab Emirates",1
"fruits","mangosteen","United Kingdom",4
"fruits","mangosteen","United States",36
"fruits","mangosteen","Uruguay",2
"fruits","mangosteen","Uzbekistan",1
"fruits","mangosteen","Vanuatu",0
"fruits","mangosteen","Venezuela, RB",0
"fruits","mangosteen","Vietnam",13
"fruits","mangosteen","Virgin Islands (U.S.)",0
"fruits","mangosteen","Wallis and Futuna",0
"fruits","mangosteen","Western Sahara",0
"fruits","mangosteen","Yemen, Rep.",0
"fruits","mangosteen","Zambia",0
"fruits","mangosteen","Zimbabwe",0
"vegetables","manioc","Afghanistan",1
"vegetables","manioc","Aland Islands",0
"vegetables","manioc","Albania",1
"vegetables","manioc","Algeria",3
"vegetables","manioc","American Samoa",0
"vegetables","manioc","Andorra",0
"vegetables","manioc","Angola",16
"vegetables","manioc","Anguilla",0
"vegetables","manioc","Antarctica",0
"vegetables","manioc","Antigua and Barbuda",1
"vegetables","manioc","Argentina",96
"vegetables","manioc","Armenia",2
"vegetables","manioc","Aruba",0
"vegetables","manioc","Australia",26
"vegetables","manioc","Austria",4
"vegetables","manioc","Azerbaijan",1
"vegetables","manioc","Bahamas, The",1
"vegetables","manioc","Bahrain",1
"vegetables","manioc","Bangladesh",8
"vegetables","manioc","Barbados",3
"vegetables","manioc","Belarus",1
"vegetables","manioc","Belgium",6
"vegetables","manioc","Belize",1
"vegetables","manioc","Benin",80
"vegetables","manioc","Bermuda",10
"vegetables","manioc","Bhutan",1
"vegetables","manioc","Bolivia",7
"vegetables","manioc","Bonaire",0
"vegetables","manioc","Bosnia and Herzegovina",0
"vegetables","manioc","Botswana",3
"vegetables","manioc","Brazil",965
"vegetables","manioc","British Indian Ocean Territory",0
"vegetables","manioc","British Virgin Islands",0
"vegetables","manioc","Brunei Darussalam",2
"vegetables","manioc","Bulgaria",1
"vegetables","manioc","Burkina Faso",24
"vegetables","manioc","Burundi",23
"vegetables","manioc","Cabo Verde",0
"vegetables","manioc","Cambodia",85
"vegetables","manioc","Cameroon",130
"vegetables","manioc","Canada",11
"vegetables","manioc","Cayman Islands",0
"vegetables","manioc","Central African Republic",19
"vegetables","manioc","Chad",10
"vegetables","manioc","Chile",5
"vegetables","manioc","China",274
"vegetables","manioc","Christmas Island",0
"vegetables","manioc","Cocos Islands",0
"vegetables","manioc","Colombia",114
"vegetables","manioc","Comoros",8
"vegetables","manioc","Congo",43
"vegetables","manioc","Congo, Dem. Rep.",82
"vegetables","manioc","Congo, Rep.",48
"vegetables","manioc","Cook Islands",0
"vegetables","manioc","Costa Rica",9
"vegetables","manioc","Croatia",2
"vegetables","manioc","Cuba",35
"vegetables","manioc","Curaçao",0
"vegetables","manioc","Cyprus",0
"vegetables","manioc","Czechia",0
"vegetables","manioc","Côte d’Ivoire",84
"vegetables","manioc","Denmark",3
"vegetables","manioc","Djibouti",1
"vegetables","manioc","Dominica",4
"vegetables","manioc","Dominican Republic",4
"vegetables","manioc","Ecuador",27
"vegetables","manioc","Egypt, Arab Rep.",12
"vegetables","manioc","El Salvador",6
"vegetables","manioc","Equatorial Guinea",5
"vegetables","manioc","Eritrea",1
"vegetables","manioc","Estonia",1
"vegetables","manioc","Eswatini",5
"vegetables","manioc","Ethiopia",34
"vegetables","manioc","Falkland Islands",0
"vegetables","manioc","Faroe Islands",0
"vegetables","manioc","Fiji",15
"vegetables","manioc","Finland",2
"vegetables","manioc","France",30
"vegetables","manioc","French Guiana",5
"vegetables","manioc","French Polynesia",1
"vegetables","manioc","Gabon",15
"vegetables","manioc","Gambia, The",4
"vegetables","manioc","Georgia",0
"vegetables","manioc","Germany",7
"vegetables","manioc","Ghana",232
"vegetables","manioc","Gibraltar",0
"vegetables","manioc","Greece",3
"vegetables","manioc","Greenland",0
"vegetables","manioc","Grenada",2
"vegetables","manioc","Guadeloupe",3
"vegetables","manioc","Guam",1
"vegetables","manioc","Guatemala",3
"vegetables","manioc","Guernsey",0
"vegetables","manioc","Guinea",67
"vegetables","manioc","Guinea-Bissau",3
"vegetables","manioc","Guyana",7
"vegetables","manioc","Haiti",2
"vegetables","manioc","Holy See",0
"vegetables","manioc","Honduras",3
"vegetables","manioc","Hong Kong SAR, China",1
"vegetables","manioc","Hungary",2
"vegetables","manioc","Iceland",0
"vegetables","manioc","India",258
"vegetables","manioc","Indonesia",321
"vegetables","manioc","Iran, Islamic Rep.",7
"vegetables","manioc","Iraq",1
"vegetables","manioc","Ireland",2
"vegetables","manioc","Isle of Man",0
"vegetables","manioc","Israel",7
"vegetables","manioc","Italy",15
"vegetables","manioc","Jamaica",4
"vegetables","manioc","Japan",30
"vegetables","manioc","Jersey",0
"vegetables","manioc","Jordan",2
"vegetables","manioc","Kazakhstan",1
"vegetables","manioc","Kenya",181
"vegetables","manioc","Kiribati",1
"vegetables","manioc","Korea, Rep.",4
"vegetables","manioc","Kosovo",1
"vegetables","manioc","Kuwait",1
"vegetables","manioc","Kyrgyz Republic",1
"vegetables","manioc","Lao PDR",58
"vegetables","manioc","Latvia",1
"vegetables","manioc","Lebanon",1
"vegetables","manioc","Lesotho",0
"vegetables","manioc","Liberia",7
"vegetables","manioc","Libya",1
"vegetables","manioc","Liechtenstein",0
"vegetables","manioc","Lithuania",1
"vegetables","manioc","Luxembourg",1
"vegetables","manioc","Macao SAR, China",0
"vegetables","manioc","Madagascar",30
"vegetables","manioc","Malawi",67
"vegetables","manioc","Malaysia",49
"vegetables","manioc","Maldives",0
"vegetables","manioc","Mali",21
"vegetables","manioc","Malta",0
"vegetables","manioc","Marshall Islands",0
"vegetables","manioc","Martinique",2
"vegetables","manioc","Mauritania",3
"vegetables","manioc","Mauritius",4
"vegetables","manioc","Mayotte",7
"vegetables","manioc","Mexico",40
"vegetables","manioc","Micronesia, Fed. Sts.",3
"vegetables","manioc","Moldova",1
"vegetables","manioc","Monaco",0
"vegetables","manioc","Mongolia",3
"vegetables","manioc","Montenegro",1
"vegetables","manioc","Montserrat",1
"vegetables","manioc","Morocco",2
"vegetables","manioc","Mozambique",58
"vegetables","manioc","Myanmar",38
"vegetables","manioc","Namibia",2
"vegetables","manioc","Nauru",0
"vegetables","manioc","Nepal",2
"vegetables","manioc","Netherlands",4
"vegetables","manioc","New Caledonia",1
"vegetables","manioc","New Zealand",13
"vegetables","manioc","Nicaragua",5
"vegetables","manioc","Niger",46
"vegetables","manioc","Nigeria",1321
"vegetables","manioc","Niue",0
"vegetables","manioc","Norfolk Island",0
"vegetables","manioc","North Macedonia",1
"vegetables","manioc","Northern Mariana Islands",0
"vegetables","manioc","Norway",3
"vegetables","manioc","Oman",3
